Task,Short,Normal,Long,Total
prefrontal2,16,60,4,80
prefrontal1,14,63,1,78
gyrus_left_closed_eyes,14,62,1,77
gyrus_right_closed_eyes,12,63,2,77
gyrus_coord,20,56,0,76
