Task,Short,Normal,Long,Total
prefrontal2,20,57,3,80
prefrontal1,18,55,5,78
gyrus_left_closed_eyes,16,58,3,77
gyrus_right_closed_eyes,15,57,5,77
gyrus_coord,22,53,1,76
