Task,Short,Normal,Long,Total
prefrontal2,37,21,22,80
prefrontal1,43,21,14,78
gyrus_left_closed_eyes,38,26,13,77
gyrus_right_closed_eyes,39,22,16,77
gyrus_coord,50,20,6,76
